,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
77,77,176.98132219999997,2022-06-26 05:48:40.591150,2022-06-26 05:57:47.427976,0 days 00:09:06.836826,tanh,256,0.1,0.00011396365098592686,0.95,0.98,8.966633981080552e-05,0.7,20,512,small,0.4714731781165023,176.98132219999997,,,PRUNED
78,78,348.51464840000006,2022-06-26 05:53:47.307831,2022-06-26 06:10:42.966530,0 days 00:16:55.658699,relu,32,0.2,0.000542818543116083,0.99,0.98,5.4336592851521926e-05,0.8,10,1024,small,0.7422223064409528,348.51464840000006,,,PRUNED
79,79,-12.945406199999999,2022-06-26 05:57:47.428639,2022-06-26 06:29:40.062467,0 days 00:31:52.633828,relu,8,0.3,0.0002603257414217968,0.9,0.98,0.012080784987809224,0.9,5,16,small,0.05670481784545368,-12.945406199999999,,,PRUNED
80,80,601.7834872,2022-06-26 05:59:06.006703,2022-06-26 08:38:54.858015,0 days 02:39:48.851312,tanh,64,0.4,6.840047128974053e-08,0.9,0.995,1.3826601061602999e-05,0.9,10,1024,medium,0.9272562140948477,1012.6920828,917.948479,601.7834872,PRUNED
81,81,169.78800940000002,2022-06-26 06:08:14.185368,2022-06-26 06:18:55.775005,0 days 00:10:41.589637,tanh,64,0.3,1.9416634946758322e-07,0.98,0.99,1.6460357359610438e-05,0.3,5,64,medium,0.25886200315484087,169.78800940000002,,,PRUNED
82,82,-6.9879266,2022-06-26 06:10:42.967213,2022-06-26 06:21:23.015585,0 days 00:10:40.048372,relu,256,0.2,4.454457785405542e-06,0.9,0.9,0.0761952216604344,0.8,5,64,small,0.629217307891541,-6.9879266,,,PRUNED
83,83,,2022-06-26 06:18:55.775661,2022-06-26 06:20:08.716046,0 days 00:01:12.940385,relu,32,0.4,0.00028012828829153814,0.92,0.95,0.4139630861249371,0.9,1,512,medium,0.48781036645089054,,,,PRUNED
84,84,1143.4887248,2022-06-26 06:20:08.716703,2022-06-26 19:10:35.013310,0 days 12:50:26.296607,tanh,8,0.2,3.517833288216012e-07,0.8,0.999,0.0010397243821415202,0.7,10,2048,small,0.9631652848833359,943.6207392,1257.1969332,1143.4887248,PRUNED
85,85,330.7795826,2022-06-26 06:21:23.016309,2022-06-26 06:31:57.473393,0 days 00:10:34.457084,relu,64,0.1,0.039420026298611195,0.95,0.98,6.668487092821746e-05,0.9,10,256,medium,0.968107607488833,330.7795826,,,PRUNED
86,86,336.7117106,2022-06-26 06:29:40.063119,2022-06-26 07:17:55.735930,0 days 00:48:15.672811,relu,8,0.1,1.5913694395601303e-06,1.0,0.95,0.012004714023818325,2.0,10,16,medium,0.09988710898083254,336.7117106,,,PRUNED
87,87,,2022-06-26 06:31:57.473986,2022-06-26 06:46:07.403837,0 days 00:14:09.929851,tanh,512,0.2,0.00042426090593575803,0.92,0.9999,0.13388147955870722,0.9,10,32,medium,0.9697377934212406,,,,PRUNED
88,88,29.2374448,2022-06-26 06:46:07.404710,2022-06-26 07:28:11.882010,0 days 00:42:04.477300,tanh,16,0.3,4.053472833019682e-08,0.99,0.999,0.0001938840145457938,0.9,20,64,small,0.1562462406665438,29.2374448,,,PRUNED
89,89,199.50181740000002,2022-06-26 07:17:55.736533,2022-06-26 07:45:13.911583,0 days 00:27:18.175050,relu,8,0.2,0.0010121658289269733,0.92,0.9999,0.0005743502252746948,2.0,5,256,small,0.4125081097850298,199.50181740000002,,,PRUNED
90,90,90.7189074,2022-06-26 07:28:11.882764,2022-06-26 07:42:48.121148,0 days 00:14:36.238384,relu,64,0.2,0.009160421783868769,0.9,0.99,4.805221190038647e-05,1.0,5,16,medium,0.572789089910759,90.7189074,,,PRUNED
91,91,46.551510799999996,2022-06-26 07:42:48.121796,2022-06-26 07:49:12.486095,0 days 00:06:24.364299,tanh,128,0.2,5.052904711108472e-05,0.98,0.995,0.1017133835249096,0.5,1,512,small,0.9346460781685927,46.551510799999996,,,PRUNED
92,92,177.5729678,2022-06-26 07:45:13.912138,2022-06-26 07:57:34.165729,0 days 00:12:20.253591,tanh,8,0.2,3.642722726258061e-08,0.95,0.98,1.8882512765011847e-05,2.0,1,256,small,0.6433055707632838,177.5729678,,,PRUNED
93,93,18.5790772,2022-06-26 07:49:12.486723,2022-06-26 07:58:10.927724,0 days 00:08:58.441001,relu,256,0.4,0.028447558234541037,0.8,0.98,0.00570805404735022,0.6,1,16,small,0.41570376581648555,18.5790772,,,PRUNED
94,94,-6.6789338,2022-06-26 07:57:34.166377,2022-06-26 08:25:12.853001,0 days 00:27:38.686624,relu,8,0.3,4.424789715602526e-07,0.9,0.995,0.07171199455673996,0.8,5,512,medium,0.12568459648337493,-6.6789338,,,PRUNED
95,95,188.5378804,2022-06-26 07:58:10.928318,2022-06-26 08:13:09.882176,0 days 00:14:58.953858,relu,64,0.3,2.2357735349818934e-07,0.9,0.95,0.0005783088594284964,0.7,20,64,small,0.7673814081596063,188.5378804,,,PRUNED
96,96,90.2288962,2022-06-26 08:13:09.882809,2022-06-26 08:23:09.173827,0 days 00:09:59.291018,relu,128,0.2,0.004575847803189623,0.95,0.9,4.034383680173828e-05,0.5,20,512,small,0.00956060170762807,90.2288962,,,PRUNED
97,97,22.706862199999996,2022-06-26 08:23:09.174405,2022-06-26 09:45:46.566135,0 days 01:22:37.391730,tanh,8,0.3,0.026074171686293474,0.98,0.999,0.0006617757081372944,2.0,20,32,medium,0.1803829721471787,22.706862199999996,,,PRUNED
98,98,452.3968226,2022-06-26 08:25:12.853672,2022-06-26 09:27:59.954273,0 days 01:02:47.100601,relu,16,0.3,0.004743416253531886,0.95,0.9,0.00013174827515924402,1.0,5,256,small,0.6173286025752963,414.6772968,452.3968226,,PRUNED
99,99,193.350825,2022-06-26 08:38:54.858728,2022-06-26 08:44:24.144624,0 days 00:05:29.285896,tanh,64,0.4,1.0115722148167723e-06,0.98,0.99,0.00031512308432717946,0.9,1,256,small,0.519120267936684,193.350825,,,PRUNED
100,100,395.16219040000004,2022-06-26 08:44:24.145979,2022-06-26 09:22:11.027919,0 days 00:37:46.881940,tanh,32,0.2,2.798269459840771e-05,0.95,0.98,0.00028386404534485536,0.9,5,64,small,0.246398682882119,375.9026,395.16219040000004,,PRUNED
101,101,312.6248064,2022-06-26 09:22:11.028684,2022-06-26 09:37:33.417047,0 days 00:15:22.388363,tanh,32,0.1,3.332279636488531e-08,0.98,0.99,0.002018618265014371,2.0,10,512,small,0.26672406816306504,312.6248064,,,PRUNED
